date,time,symbol,open,high,low,close,volume
"=""04-08-21""",10:00:00,FINNIFTY,17076.5996,17091.3496,17076.5996,17087.5508,0.0
"=""04-08-21""",10:01:00,FINNIFTY,17088.6992,17089.9004,17084.0996,17084.5,0.0
"=""04-08-21""",10:02:00,FINNIFTY,17085.25,17092.8496,17084.1504,17092.5508,0.0
